"Provider.ID","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","lon","lat","geoAddress"
100290,"VILLAGES REGIONAL HOSPITAL, THE","1451 EL CAMINO REAL","THE VILLAGES","FL",32159,"SUMTER",3527518000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Above the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Above the national average","","1451 EL CAMINO REAL
THE VILLAGES, FL
(28.94944, -81.958131)",-81.9582652,28.950209,"1451 el camino real, the villages, fl 32159, usa"
53310,"SHRINERS HOSPITALS FOR CHILDREN","3160 GENEVA STREET","LOS ANGELES","CA",90020,"LOS ANGELES",2133883151,"Childrens","Voluntary non-profit - Private","false","","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","3160 GENEVA STREET
LOS ANGELES, CA
(34.067708, -118.286387)",-118.2864299,34.067184,"3160 geneva st, los angeles, ca 90020, usa"
60076,"STERLING REGIONAL MEDCENTER","615 FAIRHURST ST","STERLING","CO",80751,"LOGAN",9705220122,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","615 FAIRHURST ST
STERLING, CO
(40.613684, -103.220524)",-103.220665,40.6126389,"615 fairhurst st, sterling, co 80751, usa"
100134,"ED FRASER MEMORIAL HOSPITAL","159 N 3RD ST","MACCLENNY","FL",32063,"BAKER",9042593151,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","159 N 3RD ST
MACCLENNY, FL
(30.28555, -82.11955)",-82.1189973,30.2850541,"159 n 3rd st, macclenny, fl 32063, usa"
61320,"GUNNISON VALLEY HOSPITAL","711 N TAYLOR STREET","GUNNISON","CO",81230,"GUNNISON",9706411456,"Critical Access Hospitals","Government - Local","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","711 N TAYLOR STREET
GUNNISON, CO
(38.551089, -106.924321)",-106.9249511,38.5518625,"711 n taylor st, gunnison, co 81230, usa"
140275,"GENESIS HEALTH SYSTEM","801 ILLINI DRIVE","SILVIS","IL",61282,"ROCK ISLAND",3097929363,"Acute Care Hospitals","Government - Local","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","801 ILLINI DRIVE
SILVIS, IL
(41.493068, -90.419997)",-90.4185105,41.4943265,"801 illini dr, silvis, il 61282, usa"
50745,"CHAPMAN GLOBAL MEDICAL CENTER","2601 E CHAPMAN AVE","ORANGE","CA",92869,"ORANGE",7146330011,"Acute Care Hospitals","Proprietary","true","true","2","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","2601 E CHAPMAN AVE
ORANGE, CA
(33.787878, -117.827058)",-117.8263367,33.7885117,"2601 e chapman ave, orange, ca 92869, usa"
60013,"MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","DURANGO","CO",81301,"LA PLATA",9702474311,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","5","","Same as the national average","","Above the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1010 THREE SPRINGS BLVD
DURANGO, CO
(37.235054, -107.824841)",-107.8255618,37.2361018,"1010 three springs blvd, durango, co 81301, usa"
60011,"DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","DENVER","CO",80204,"DENVER",3036024930,"Acute Care Hospitals","Government - State","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Same as the national average","","Above the national average","","777 BANNOCK ST
DENVER, CO
(39.72823, -104.990066)",-104.9910801,39.7282404,"777 bannock st, denver, co 80204, usa"
50766,"SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","YUBA CITY","CA",95991,"SUTTER",5307495700,"Acute Care Hospitals","Physician","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Above the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","455 PLUMAS BLVD
YUBA CITY, CA
(39.132167, -121.613603)",-121.6133756,39.1317646,"455 plumas blvd, yuba city, ca 95991, usa"
60036,"ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","LA JUNTA","CO",81050,"OTERO",7193836000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1100 CARSON AVENUE
LA JUNTA, CO
(37.976929, -103.548742)",-103.5488178,37.9788037,"1100 carson ave, la junta, co 81050, usa"
100296,"DOCTORS HOSPITAL","5000 UNIVERSITY DR","CORAL GABLES","FL",33146,"MIAMI-DADE",3056662111,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","5000 UNIVERSITY DR
CORAL GABLES, FL
(25.724611, -80.273181)",-80.2742206,25.7242943,"5000 university dr, coral gables, fl 33146, usa"
110074,"PIEDMONT ATHENS REGIONAL MEDICAL CENTER","1199 PRINCE AVENUE","ATHENS","GA",30606,"CLARKE",7064757000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Above the national average","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1199 PRINCE AVENUE
ATHENS, GA
(33.962377, -83.397733)",-83.3979673,33.9613926,"prince tower, 1199 prince ave, athens, ga 30606, usa"
100002,"BETHESDA HOSPITAL EAST","2815 S SEACREST BLVD","BOYNTON BEACH","FL",33435,"PALM BEACH",5617377733,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Above the national average","","Above the national average","","Below the national average","","Same as the national average","","Same as the national average","","Above the national average","","2815 S SEACREST BLVD
BOYNTON BEACH, FL
(26.50404, -80.06868)",-80.0703818,26.5047567,"2815 s seacrest blvd, boynton beach, fl 33435, usa"
110024,"CANDLER HOSPITAL","5353 REYNOLDS STREET","SAVANNAH","GA",31412,"CHATHAM",9128196000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","5353 REYNOLDS STREET
SAVANNAH, GA
(32.027361, -81.101731)",-81.1002076,32.0279729,"5353 reynolds st, savannah, ga 31405, usa"
90005,"SIBLEY MEMORIAL HOSPITAL","5255 LOUGHBORO RD NW","WASHINGTON","DC",20016,"DISTRICT OF COLUMBIA",2025374680,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Above the national average","","5255 LOUGHBORO RD NW
WASHINGTON, DC
(38.935747, -77.109889)",-77.109259,38.9365582,"5255 loughboro rd nw, washington, dc 20016, usa"
50779,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","1680 EAST 120TH STREET","LOS ANGELES","CA",90059,"LOS ANGELES",4248356808,"Acute Care Hospitals","Voluntary non-profit - Private","true","","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","1680 EAST 120TH STREET
LOS ANGELES, CA
(33.924361, -118.244331)",-118.2451528,33.9239277,"1680 e 120th st, los angeles, ca 90059, usa"
140189,"SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372","MATTOON","IL",61938,"COLES",2172582572,"Acute Care Hospitals","Voluntary non-profit - Private","false","true","3","","Same as the national average","","Above the national average","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1000 HEALTH CENTER DRIVE P O BOX 372
MATTOON, IL
(39.488543, -88.275793)",-88.2740009,39.4881278,"1000 health center dr, mattoon, il 61938, usa"
70018,"GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","GREENWICH","CT",6830,"FAIRFIELD",2038633000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","5 PERRYRIDGE RD
GREENWICH, CT
(41.034395, -73.629632)",-73.630196,41.034308,"5 perryridge rd, greenwich, ct 06830, usa"
70039,"MASONICARE HEALTH CENTER","22 MASONIC AVE","WALLINGFORD","CT",6492,"NEW HAVEN",2036795900,"Acute Care Hospitals","Voluntary non-profit - Private","false","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","22 MASONIC AVE
WALLINGFORD, CT
(41.459676, -72.83731)",-72.8364962,41.4628121,"22 masonic ave, wallingford, ct 06492, usa"
110071,"APPLING HOSPITAL","163 E TOLLISON STREET","BAXLEY","GA",31513,"APPLING",9123679841,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","163 E TOLLISON STREET
BAXLEY, GA
(31.768768, -82.349351)",-82.3501424,31.76996,"163 e tollison st, baxley, ga 31513, usa"
100099,"LAKE WALES MEDICAL CENTER","410 S 11TH ST","LAKE WALES","FL",33853,"POLK",8636761433,"Acute Care Hospitals","Proprietary","true","true","2","","Same as the national average","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","410 S 11TH ST
LAKE WALES, FL
(27.896327, -81.564668)",-81.565518,27.895852,"410 s 11th st, lake wales, fl 33853, usa"
100220,"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","13681 DOCTORS WAY","FORT MYERS","FL",33912,"LEE",2397685000,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","2","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","13681 DOCTORS WAY
FORT MYERS, FL
(26.543016, -81.848589)",-81.8504152,26.5441756,"13681 doctors way, fort myers, fl 33912, usa"
141350,"ST FRANCIS HOSPITAL","1215 FRANCISCAN DR","LITCHFIELD","IL",62056,"MONTGOMERY",2173242191,"Critical Access Hospitals","Voluntary non-profit - Church","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","1215 FRANCISCAN DR
LITCHFIELD, IL
(39.18081, -89.639636)",-89.6389347,39.1812744,"1215 franciscan dr, litchfield, il 62056, usa"
101308,"NORTHWEST FLORIDA COMMUNITY HOSPITAL","1360 BRICKYARD RD","CHIPLEY","FL",32428,"WASHINGTON",8506381610,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1360 BRICKYARD RD
CHIPLEY, FL
(30.76457, -85.542643)",-85.542884,30.76626,"1360 brickyard rd, chipley, fl 32428, usa"
100321,"ST VINCENTS MEDICAL CENTER - CLAY COUNTY","1670 ST VINCENTS WAY","MIDDLEBURG","FL",32068,"CLAY",9046021000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","1670 ST VINCENTS WAY
MIDDLEBURG, FL
(30.111135, -81.831298)",-81.8323503,30.1089312,"1670 st vincent's way, middleburg, fl 32068, usa"
110115,"WELLSTAR ATLANTA MEDICAL CENTER","303 PARKWAY DRIVE, NE","ATLANTA","GA",30312,"FULTON",4042654000,"Acute Care Hospitals","Proprietary","true","true","1","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","303 PARKWAY DRIVE, NE
ATLANTA, GA
(33.76327, -84.373986)",-84.3729609,33.7629065,"303 parkway dr ne, atlanta, ga 30312, usa"
101313,"MARINERS HOSPITAL","91500 OVERSEAS HIGHWAY","TAVERNIER","FL",33070,"MONROE",3054343000,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average","","91500 OVERSEAS HIGHWAY
TAVERNIER, FL
(25.005408, -80.521301)",-80.5220346,25.0059575,"91500 overseas hwy, tavernier, fl 33070, usa"
101302,"CAMPBELLTON-GRACEVILLE HOSPITAL","5429 COLLEGE DR","GRACEVILLE","FL",32440,"JACKSON",8502637201,"Critical Access Hospitals","Government - State","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","5429 COLLEGE DR
GRACEVILLE, FL
(30.96368, -85.50565)",-85.506581,30.963259,"5429 college dr, graceville, fl 32440, usa"
110111,"UNIVERSITY HOSPITAL MCDUFFIE","2460 WASHINGTON ROAD","THOMSON","GA",30824,"MCDUFFIE",7065951411,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","2460 WASHINGTON ROAD
THOMSON, GA
(33.525487, -82.504986)",-82.5044555,33.5231902,"2460 washington rd, thomson, ga 30824, usa"
110043,"ST JOSEPH'S HOSPITAL - SAVANNAH","11705 MERCY BOULEVARD","SAVANNAH","GA",31419,"CHATHAM",9128194100,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","11705 MERCY BOULEVARD
SAVANNAH, GA
(31.985079, -81.152792)",-81.154752,31.98515,"11705 mercy boulevard, savannah, ga 31419, usa"
140288,"ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","DOWNERS GROVE","IL",60515,"DUPAGE",6302755900,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","4","","Same as the national average","","Below the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","3815 HIGHLAND AVENUE
DOWNERS GROVE, IL
(41.819137, -88.01022)",-88.0085664,41.8185454,"3815 highland ave, downers grove, il 60515, usa"
100081,"HEALTHMARK REGIONAL MEDICAL CENTER","4413 US HWY 331 S","DEFUNIAK SPRINGS","FL",32435,"WALTON",8509514500,"Acute Care Hospitals","Proprietary","true","true","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Below the national average","","Above the national average","","Not Available","Results are not available for this reporting period","4413 US HWY 331 S
DEFUNIAK SPRINGS, FL
(30.658742, -86.119188)",-86.117635,30.6599519,"4413 us-331, defuniak springs, fl 32435, usa"
61300,"WEISBROD MEMORIAL COUNTY HOSPITAL","1208 LUTHER STREET","EADS","CO",81036,"KIOWA",7194385401,"Critical Access Hospitals","Government - Hospital District or Authority","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1208 LUTHER STREET
EADS, CO
(38.480198, -102.784468)",-102.7844528,38.4809228,"1208 luther st, eads, co 81036, usa"
50697,"PATIENTS' HOSPITAL OF REDDING","2900 EUREKA WAY","REDDING","CA",96001,"SHASTA",5302258700,"Acute Care Hospitals","Physician","false","","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Above the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","2900 EUREKA WAY
REDDING, CA
(40.58549, -122.416264)",-122.4167985,40.5859177,"2900 eureka way, redding, ca 96001, usa"
70022,"YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN","CT",6504,"NEW HAVEN",2036884242,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","20 YORK ST
NEW HAVEN, CT
(41.304285, -72.934689)",-72.9357954,41.3045436,"20 york st, new haven, ct 06510, usa"
100124,"SANTA ROSA MEDICAL CENTER","6002 BERRYHILL RD","MILTON","FL",32570,"SANTA ROSA",8506267762,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","6002 BERRYHILL RD
MILTON, FL
(30.632616, -87.06825)",-87.0669536,30.6344146,"6002 berryhill rd, milton, fl 32570, usa"
110105,"COLQUITT REGIONAL MEDICAL CENTER","3131 THOMASVILLE HWY BOX 40","MOULTRIE","GA",31768,"COLQUITT",2299853420,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Same as the national average","","Below the national average","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","3131 THOMASVILLE HWY BOX 40
MOULTRIE, GA
(31.126747, -83.782918)",-86.160495,34.22159,"2505 us-431, boaz, al 35957, usa"
110104,"CRISP REGIONAL HOSPITAL","902 7TH STREET NORTH","CORDELE","GA",31015,"CRISP",2292763100,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","902 7TH STREET NORTH
CORDELE, GA
(31.977515, -83.782846)",-83.7812905,31.9775657,"902 7th st n, cordele, ga 31015, usa"
50708,"FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST","FRESNO","CA",93710,"FRESNO",5594318000,"Acute Care Hospitals","Proprietary","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Above the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","6125 NORTH FRESNO ST
FRESNO, CA
(36.824644, -119.781416)",-119.7820107,36.825095,"6125 n fresno st, fresno, ca 93710, usa"
90001,"GEORGE WASHINGTON UNIV HOSPITAL","900 23RD ST NW","WASHINGTON","DC",20037,"DISTRICT OF COLUMBIA",2027164605,"Acute Care Hospitals","Proprietary","true","true","1","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","900 23RD ST NW
WASHINGTON, DC
(38.901169, -77.050119)",-77.0507911,38.9013372,"900 23rd st nw, washington, dc 20037, usa"
100266,"GULF BREEZE HOSPITAL","1110 GULF BREEZE PKWY","GULF BREEZE","FL",32561,"SANTA ROSA",8509342000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","4","","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1110 GULF BREEZE PKWY
GULF BREEZE, FL
(30.358649, -87.156803)",-87.1570226,30.3610677,"1110 gulf breeze pkwy, gulf breeze, fl 32561, usa"
110025,"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS","2415 PARKWOOD DRIVE","BRUNSWICK","GA",31520,"GLYNN",9124667000,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Below the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","2415 PARKWOOD DRIVE
BRUNSWICK, GA
(31.173785, -81.484516)",-81.4844859,31.1754151,"2415 parkwood dr, brunswick, ga 31520, usa"
50757,"ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","SAN DIEGO","CA",92120,"SAN DIEGO",6192293172,"Acute Care Hospitals","Proprietary","true","true","3","","Above the national average","","Above the national average","","Above the national average","","Below the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","6655 ALVARADO ROAD
SAN DIEGO, CA
(32.777136, -117.056602)",-117.0573419,32.7769703,"6655 alvarado rd, san diego, ca 92120, usa"
110087,"GWINNETT MEDICAL CENTER","1000 MEDICAL CENTER BOULEVARD","LAWRENCEVILLE","GA",30045,"GWINNETT",6783121000,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","4","","Above the national average","","Same as the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","1000 MEDICAL CENTER BOULEVARD
LAWRENCEVILLE, GA
(33.966455, -84.013012)",-84.0176866,33.9635082,"1000 medical center blvd, lawrenceville, ga 30046, usa"
51301,"ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY","115 WEST E STREET","TEHACHAPI","CA",93561,"KERN",6618223241,"Critical Access Hospitals","Government - Hospital District or Authority","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","115 WEST E STREET
TEHACHAPI, CA
(35.130081, -118.449107)",-118.4487399,35.1303599,"115 w e st, tehachapi, ca 93561, usa"
50740,"MARINA DEL REY HOSPITAL","4650 LINCOLN BLVD","MARINA DEL REY","CA",90291,"LOS ANGELES",3108238911,"Acute Care Hospitals","Proprietary","true","true","4","","Same as the national average","","Same as the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","4650 LINCOLN BLVD
MARINA DEL REY, CA
(33.981732, -118.440154)",-118.4392607,33.9821254,"4650 lincoln blvd, marina del rey, ca 90292, usa"
110132,"MEMORIAL HOSPITAL AND MANOR","1500 E SHOTWELL STREET","BAINBRIDGE","GA",39819,"DECATUR",2292463500,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","1500 E SHOTWELL STREET
BAINBRIDGE, GA
(30.903781, -84.55367)",-84.5522362,30.9029469,"1500 e shotwell st, bainbridge, ga 39819, usa"
50751,"MIRACLE MILE MEDICAL CENTER","6000 SAN VICENTE BLVD","LOS ANGELES","CA",90036,"LOS ANGELES",3239301040,"Acute Care Hospitals","Proprietary","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","6000 SAN VICENTE BLVD
LOS ANGELES, CA
(34.057374, -118.362014)",-118.3623356,34.0573179,"6000 san vicente blvd, los angeles, ca 90036, usa"
100025,"SACRED HEART HOSPITAL","5151 N 9TH AVE","PENSACOLA","FL",32504,"ESCAMBIA",8504167000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","5151 N 9TH AVE
PENSACOLA, FL
(30.475588, -87.210986)",-87.2115023,30.4767542,"5151 n 9th ave, pensacola, fl 32504, usa"
100034,"MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","MIAMI BEACH","FL",33140,"MIAMI-DADE",3056742121,"Acute Care Hospitals","Proprietary","true","true","3","","Above the national average","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","4300 ALTON RD
MIAMI BEACH, FL
(25.815045, -80.137939)",-80.1414004,25.8129583,"4300 alton rd, miami beach, fl 33140, usa"
50760,"KAISER FOUNDATION HOSPITAL - ANTIOCH","4501 SAND CREEK ROAD","ANTIOCH","CA",94531,"CONTRA COSTA",9258136500,"Acute Care Hospitals","Proprietary","true","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","4501 SAND CREEK ROAD
ANTIOCH, CA
(37.949469, -121.774824)",-121.7749286,37.9508418,"kaiser antioch medical center - main building, 4501 sand creek rd, antioch, ca 94531, usa"
100039,"BROWARD HEALTH MEDICAL CENTER","1600 S ANDREWS AVE","FORT LAUDERDALE","FL",33316,"BROWARD",9543554400,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","2","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","1600 S ANDREWS AVE
FORT LAUDERDALE, FL
(26.101975, -80.14231)",-80.14078,26.1022242,"1600 s andrews ave, fort lauderdale, fl 33316, usa"
